date,filename,file_size,record_count,metadata_file,created_at,test_description,log_link,metadata_link
2025-08-12,SCN_2025_08_12_001.log,1768,1,SCN_2025_08_12_001.metadata.json,2025-08-12T15:05:00Z,Basic test,,
2025-08-12,SCN_2025_08_12_002.log,1632,1,SCN_2025_08_12_002.metadata.json,2025-08-12T15:10:00Z,Non-Curosr test,,
2025-08-12,SCN_2025_08_12_003.log,1156,1,SCN_2025_08_12_003.metadata.json,2025-08-12T15:17:00Z,test cli 2,,
2025-08-12,SCN_2025_08_12_004.log,1394,1,SCN_2025_08_12_004.metadata.json,2025-08-12T15:20:00Z,test 3,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_004.log,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_004.metadata.json
2025-08-12,SCN_2025_08_12_005.log,2618,1,SCN_2025_08_12_005.metadata.json,2025-08-12T15:30:00Z,testing of dumby file,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_005.log,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_005.metadata.json
2025-08-12,SCN_2025_08_12_006.log,2040,1,SCN_2025_08_12_006.metadata.json,2025-08-12T15:32:00Z,sean demo,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_006.log,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_006.metadata.json
2025-08-12,SCN_2025_08_12_007.log,2618,1,SCN_2025_08_12_007.metadata.json,2025-08-12T15:37:00Z,sean demo,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_007.log,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_007.metadata.json
2025-08-12,SCN_2025_08_12_008.log,0,0,SCN_2025_08_12_008.metadata.json,2025-08-12T15:39:00Z,commmit,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_008.log,https://github.com/C-broderick-225/svmc72200-ukc1-telemetry-logs/blob/main/C:/Users/BBK/source/svmc72200-ukc1-telemetry-logs/logs/2025-08-12/SCN_2025_08_12_008.metadata.json
